登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率,イン進入数,さされ率,まくられ率,まくりさされ率
4729,2026-01-29,2026-07-30,174,18,8,2,4,4,0,0,22.2,11.1,0.0,0.0,26,30.8,30.8,7.7
4730,2026-01-29,2026-07-30,192,34,14,6,4,6,4,0,11.8,17.6,0.12,3.2,34,5.9,47.1,0.0
4731,2026-01-29,2026-07-30,164,28,12,10,2,2,2,0,7.1,35.7,-0.05,0.0,22,9.1,18.2,18.2
4732,2026-01-29,2026-07-30,254,72,46,18,6,0,2,0,8.3,25.0,0.22,3.2,60,10.0,0.0,10.0
4733,2026-01-29,2026-07-30,160,14,8,0,6,0,0,0,42.9,0.0,-0.04,0.0,20,0.0,10.0,40.0
4734,2026-01-29,2026-07-30,272,70,34,8,8,14,6,0,11.4,11.4,0.04,1.5,60,3.3,16.7,13.3
4735,2026-01-29,2026-07-30,194,22,6,0,12,4,0,0,54.5,0.0,-0.05,0.0,24,16.7,33.3,16.7
4736,2026-01-29,2026-07-30,252,68,40,12,6,4,6,0,8.8,17.6,0.01,0.8,62,12.9,0.0,19.4
4737,2026-01-29,2026-07-30,224,80,34,12,26,4,2,2,32.5,15.0,0.04,0.0,50,8.0,20.0,4.0
4738,2026-01-29,2026-07-30,316,80,48,10,16,4,2,0,20.0,12.5,0.01,0.0,64,6.2,3.1,9.4
4739,2026-01-29,2026-07-30,238,66,32,10,18,0,6,0,27.3,15.2,0.08,1.7,56,3.6,25.0,10.7
4740,2026-01-29,2026-07-30,200,22,8,4,4,6,0,0,18.2,18.2,-0.03,0.0,28,21.4,21.4,21.4
4743,2026-01-29,2026-07-30,302,70,40,4,10,10,4,2,14.3,5.7,0.02,0.0,60,10.0,10.0,6.7
4744,2026-01-29,2026-07-30,170,14,8,2,0,4,0,0,0.0,14.3,0.01,0.0,24,8.3,41.7,16.7
4746,2026-01-29,2026-07-30,178,28,20,4,0,2,0,2,0.0,14.3,0.02,1.2,32,6.2,18.8,6.2
4747,2026-01-29,2026-07-30,134,10,4,2,4,0,0,0,40.0,20.0,-0.08,0.0,18,44.4,22.2,0.0
4748,2026-01-29,2026-07-30,220,50,28,6,6,6,4,0,12.0,12.0,0.04,0.0,48,8.3,16.7,12.5
4750,2026-01-29,2026-07-30,196,36,14,4,14,0,4,0,38.9,11.1,-0.03,0.0,30,13.3,13.3,20.0
4752,2026-01-29,2026-07-30,196,16,8,0,6,2,0,0,37.5,0.0,-0.03,0.0,28,28.6,7.1,21.4
4753,2026-01-29,2026-07-30,62,8,6,0,2,0,0,0,25.0,0.0,-0.17,0.0,10,0.0,0.0,40.0
4754,2026-01-29,2026-07-30,288,70,40,6,10,10,4,0,14.3,8.6,-0.03,0.0,50,4.0,0.0,12.0
4757,2026-01-29,2026-07-30,238,70,38,2,18,8,2,2,25.7,2.9,0.02,0.8,54,7.4,14.8,3.7
4759,2026-01-29,2026-07-30,222,56,36,6,4,6,4,0,7.1,10.7,-0.02,0.9,44,0.0,13.6,4.5
4760,2026-01-29,2026-07-30,294,86,46,6,16,16,2,0,18.6,7.0,0.01,0.0,62,3.2,16.1,6.5
4761,2026-01-29,2026-07-30,266,62,40,6,8,6,2,0,12.9,9.7,-0.03,0.0,54,0.0,11.1,11.1
4762,2026-01-29,2026-07-30,280,92,50,12,10,14,6,0,10.9,13.0,-0.01,0.0,68,5.9,5.9,8.8
4764,2026-01-29,2026-07-30,150,24,10,2,6,2,4,0,25.0,8.3,0.04,1.4,24,25.0,0.0,8.3
4765,2026-01-29,2026-07-30,174,24,12,4,8,0,0,0,33.3,16.7,-0.07,0.0,28,7.1,14.3,35.7
4766,2026-01-29,2026-07-30,160,14,4,4,6,0,0,0,42.9,28.6,-0.04,0.0,16,25.0,12.5,25.0
