toban,stint,branch,firstDate,lastDate,nNear,nFar,winsNear,winsFar,top3Near,top3Far,eligible,winDiff,winDiffCourseAdj,top3Diff,top3DiffCourseAdj,meanFinishDiff,meanFinishDiffCourseAdj
3245,0,埼玉,2016-11-03,2020-04-26,87,437,11,45,36,164,1,0.023462,0.000453,0.038507,0.019609,-0.253137,-0.166514
3246,0,兵庫,2016-11-03,2026-05-31,236,1138,27,96,99,455,1,0.030048,0.027929,0.019667,0.017414,-0.105009,-0.094621
3251,0,埼玉,2016-11-05,2026-08-11,490,1871,85,373,299,1122,1,-0.025889,-0.012522,0.010525,0.024741,0.011036,-0.049479
3254,0,香川,2016-11-01,2022-03-04,46,714,2,50,17,248,1,-0.026550,-0.019071,0.022226,0.033943,-0.004872,-0.051314
3256,0,東京,2016-12-04,2026-08-11,336,1331,97,374,228,887,1,0.007699,0.026416,0.012155,0.025256,-0.060785,-0.120408
3257,0,福岡,2017-01-24,2026-08-07,190,909,78,330,130,598,1,0.047490,0.032487,0.026345,0.016743,-0.127109,-0.080650
3261,0,岡山,2016-11-01,2022-11-19,168,706,10,46,69,252,1,-0.005632,-0.007354,0.053774,0.053015,-0.045360,-0.041194
3265,0,福岡,2016-11-03,2026-08-02,365,1089,93,290,248,769,1,-0.011505,-0.016271,-0.026700,-0.027506,0.098424,0.105723
3268,0,三重,2016-11-05,2026-08-08,506,1404,90,243,271,774,1,0.004789,-0.000457,-0.015709,-0.023079,0.082007,0.110627
3269,0,群馬,2016-11-06,2016-11-11,0,0,0,0,0,0,0,,,,,,
3273,0,広島,2016-11-01,2025-07-27,300,1193,33,131,143,512,1,0.000193,-0.000313,0.047497,0.039742,-0.062666,-0.035944
3276,0,愛知,2016-11-10,2020-02-01,82,438,12,35,27,142,1,0.066433,0.065189,0.005067,-0.003183,-0.142221,-0.110068
3277,0,東京,2016-11-03,2026-08-10,221,1008,18,93,86,379,1,-0.010814,-0.022490,0.013148,0.011989,0.069395,0.082804
3278,0,滋賀,2016-11-01,2018-06-27,56,293,11,76,33,197,1,-0.062957,-0.044420,-0.083069,-0.071318,0.371039,0.316723
3280,0,三重,2016-11-03,2024-11-23,216,865,36,103,83,373,1,0.047592,0.056023,-0.046955,-0.036101,0.125915,0.080770
3281,0,大阪,2016-11-01,2020-06-26,61,525,4,30,16,175,1,0.008431,0.012363,-0.071038,-0.059596,0.439688,0.392459
3282,0,広島,2016-11-03,2026-08-10,266,1707,34,209,124,827,1,0.005383,0.004261,-0.018310,-0.019947,0.005372,0.010767
3283,0,福井,2016-11-01,2022-12-22,190,904,20,100,74,334,1,-0.005356,-0.003353,0.020005,0.023492,-0.074697,-0.088714
3284,0,佐賀,2016-11-01,2026-08-10,706,1288,142,265,414,712,1,-0.004612,-0.006034,0.033607,0.039053,-0.082872,-0.098770
3286,0,静岡,2016-11-01,2026-08-08,228,1196,26,124,90,497,1,0.010356,0.006996,-0.020815,-0.021281,-0.000088,0.004819
3289,0,大阪,2016-12-01,2026-06-29,172,1273,23,167,77,582,1,0.002535,-0.010537,-0.009513,-0.028070,-0.095115,-0.019875
3290,0,大阪,2016-11-03,2024-12-12,219,940,41,219,142,578,1,-0.045764,-0.036503,0.033508,0.042758,-0.022734,-0.062437
3291,0,福岡,2016-11-03,2017-10-16,9,118,0,4,0,30,0,,,,,,
3293,0,東京,2016-11-03,2026-08-03,297,1204,17,50,120,411,1,0.015711,0.005584,0.062678,0.054056,-0.210575,-0.171243
3294,0,静岡,2016-11-07,2026-08-08,358,1180,41,103,143,482,1,0.027237,0.030190,-0.009033,-0.011843,-0.056174,-0.049135
3295,0,徳島,2016-11-08,2023-02-27,48,972,9,156,27,523,1,0.027006,0.044370,0.024434,0.039841,-0.102623,-0.169324
3296,0,群馬,2016-11-03,2020-11-13,173,232,9,17,56,56,1,-0.021253,-0.037449,0.082320,0.061418,-0.201490,-0.113669
3297,0,福岡,2016-11-03,2026-08-03,357,1156,65,184,199,627,1,0.022903,0.013823,0.015035,0.012152,-0.078555,-0.060308
3298,0,静岡,2016-12-29,2019-11-02,26,90,0,3,4,21,1,-0.033333,-0.030479,-0.079487,-0.065786,0.227350,0.174613
3299,0,福岡,2016-11-03,2016-11-08,0,8,0,0,0,2,0,,,,,,
3300,0,岡山,2016-12-03,2026-07-09,431,1734,93,387,242,1097,1,-0.007406,-0.013019,-0.071156,-0.072824,0.194439,0.205734
3302,0,愛知,2016-11-03,2026-08-11,311,1454,67,298,156,755,1,0.010482,0.009347,-0.017650,-0.024729,0.052789,0.077318
3303,0,東京,2016-11-01,2026-08-10,278,1415,28,214,142,744,1,-0.050517,-0.055811,-0.015004,-0.020742,0.090177,0.113345
3304,0,徳島,2016-11-03,2026-08-10,196,1959,37,438,104,1168,1,-0.034808,-0.025385,-0.065610,-0.053710,0.159648,0.111262
3305,0,岡山,2016-11-03,2026-08-10,452,1436,46,158,166,507,1,-0.008258,-0.007784,0.014193,0.012255,-0.057313,-0.051346
3306,0,埼玉,2016-11-01,2026-08-05,529,899,49,50,197,294,1,0.037010,0.021658,0.045371,0.028967,-0.216992,-0.146760
3307,0,佐賀,2020-05-11,2024-07-03,197,377,40,91,112,210,1,-0.038334,-0.031680,0.011499,0.009758,0.001091,-0.001130
3309,0,東京,2016-11-08,2018-10-05,43,234,1,13,11,60,1,-0.032300,-0.026333,-0.000596,-0.001170,0.023057,0.017095
3310,0,群馬,2016-11-18,2022-06-13,346,512,18,15,120,158,1,0.022726,-0.001876,0.038227,0.009489,-0.178829,-0.059659
3312,0,愛知,2016-11-08,2016-12-04,10,15,5,2,8,5,0,,,,,,
3313,0,東京,2016-11-09,2026-08-10,176,970,10,61,56,309,1,-0.006068,-0.004017,-0.000375,-0.010455,-0.021942,0.011006
3315,0,愛知,2016-11-01,2026-08-11,196,1224,21,142,93,595,1,-0.008870,-0.009545,-0.011621,-0.017311,0.064059,0.084254
3317,0,福岡,2016-11-01,2018-10-01,45,233,3,13,19,81,1,0.010873,0.014960,0.074583,0.088487,-0.182070,-0.236719
3319,0,埼玉,2016-11-01,2026-08-11,751,1552,160,285,466,930,1,0.029415,0.043481,0.021279,0.031258,-0.108936,-0.155977
3324,0,兵庫,2016-11-12,2016-11-17,0,8,0,0,0,0,0,,,,,,
3325,0,長崎,2016-11-09,2020-04-05,175,370,11,20,45,106,1,0.008803,0.020001,-0.029344,-0.013265,0.017838,-0.046619
3326,0,群馬,2016-11-01,2017-09-25,61,135,10,28,33,86,1,-0.043473,-0.019153,-0.096053,-0.081525,0.279174,0.206128
3327,0,静岡,2016-11-01,2026-08-11,368,2021,65,424,228,1281,1,-0.033167,-0.022449,-0.014279,-0.009255,0.057065,0.028471
3328,0,東京,2016-11-03,2016-12-31,0,12,0,0,0,1,0,,,,,,
3329,0,愛知,2016-11-15,2017-11-28,46,172,16,56,30,113,1,0.022245,0.041847,-0.004803,0.019762,0.020981,-0.077973
3331,0,愛知,2016-11-03,2023-08-18,263,1102,56,233,167,703,1,0.001494,0.011546,-0.002950,0.013249,0.043212,-0.021578
3333,0,徳島,2016-11-03,2026-08-10,157,2000,28,428,83,1282,1,-0.035656,-0.031820,-0.112338,-0.111751,0.246277,0.239579
