unit,jcd,venue,speedBand,component,n_all,out_all,rate_all,ciLow_all,ciHigh_all,note_all,n_in1,out_in1,rate_in1,ciLow_in1,ciHigh_in1,note_in1,diffPt_in1MinusAll
Z3,08,常滑,計,計,2922,552,18.89,17.51,20.35,,2867,520,18.14,16.77,19.59,,-0.75
Z3,09,津,計,追い風,814,160,19.66,17.07,22.53,,813,160,19.68,17.09,22.55,,0.02
Z3,09,津,計,横風,26,4,,,,n不足,26,4,,,,n不足,
Z3,09,津,計,向かい風,1666,300,18.01,16.24,19.93,,1651,289,17.5,15.75,19.41,,-0.51
Z3,09,津,計,無風,189,31,,,,n不足,188,30,,,,n不足,
Z3,09,津,計,計,2695,495,18.37,16.95,19.87,,2678,483,18.04,16.63,19.54,,-0.33
Z3,10,三国,計,追い風,431,94,21.81,18.17,25.95,,424,91,21.46,17.82,25.62,,-0.35
Z3,10,三国,計,横風,1989,428,21.52,19.77,23.38,,1960,407,20.77,19.03,22.62,,-0.75
Z3,10,三国,計,向かい風,170,39,,,,n不足,166,36,,,,n不足,
Z3,10,三国,計,無風,61,14,,,,n不足,60,13,,,,n不足,
Z3,10,三国,計,計,2651,575,21.69,20.16,23.3,,2610,547,20.96,19.44,22.56,,-0.73
Z3,11,びわこ,計,追い風,240,49,,,,n不足,238,47,,,,n不足,
Z3,11,びわこ,計,横風,1926,390,20.25,18.51,22.1,,1921,387,20.15,18.41,22.0,,-0.1
Z3,11,びわこ,計,向かい風,242,47,,,,n不足,239,46,,,,n不足,
Z3,11,びわこ,計,無風,249,43,,,,n不足,248,42,,,,n不足,
Z3,11,びわこ,計,計,2657,529,19.91,18.44,21.47,,2646,522,19.73,18.26,21.29,,-0.18
Z3,12,住之江,計,追い風,394,75,19.04,15.47,23.2,,392,74,18.88,15.31,23.05,,-0.16
Z3,12,住之江,計,横風,1369,250,18.26,16.3,20.4,,1353,235,17.37,15.44,19.48,,-0.89
Z3,12,住之江,計,向かい風,0,0,,,,n不足,0,0,,,,n不足,
Z3,12,住之江,計,無風,984,179,18.19,15.91,20.72,,977,173,17.71,15.44,20.23,,-0.48
Z3,12,住之江,計,計,2747,504,18.35,16.94,19.84,,2722,482,17.71,16.32,19.19,,-0.64
Z3,13,尼崎,計,追い風,497,75,15.09,12.21,18.5,,497,75,15.09,12.21,18.5,,0.0
Z3,13,尼崎,計,横風,412,73,17.72,14.33,21.7,,410,71,17.32,13.96,21.28,,-0.4
Z3,13,尼崎,計,向かい風,1332,207,15.54,13.69,17.58,,1320,197,14.92,13.1,16.95,,-0.62
Z3,13,尼崎,計,無風,220,39,,,,n不足,220,39,,,,n不足,
Z3,13,尼崎,計,計,2461,394,16.01,14.61,17.51,,2447,382,15.61,14.23,17.1,,-0.4
Z3,14,鳴門,計,追い風,1169,285,24.38,22.0,26.92,,1152,274,23.78,21.42,26.33,,-0.6
Z3,14,鳴門,計,横風,536,134,25.0,21.52,28.83,,533,133,24.95,21.47,28.8,,-0.05
Z3,14,鳴門,計,向かい風,712,173,24.3,21.29,27.58,,707,170,24.05,21.04,27.33,,-0.25
Z3,14,鳴門,計,無風,98,17,,,,n不足,97,17,,,,n不足,
Z3,14,鳴門,計,計,2515,609,24.21,22.58,25.93,,2489,594,23.87,22.23,25.58,,-0.34
Z3,15,丸亀,計,追い風,631,127,20.13,17.18,23.43,,625,126,20.16,17.2,23.48,,0.03
Z3,15,丸亀,計,横風,1435,251,17.49,15.61,19.54,,1423,245,17.22,15.34,19.27,,-0.27
Z3,15,丸亀,計,向かい風,650,125,19.23,16.39,22.44,,642,119,18.54,15.72,21.73,,-0.69
Z3,15,丸亀,計,無風,20,2,,,,n不足,19,1,,,,n不足,
Z3,15,丸亀,計,計,2736,505,18.46,17.05,19.96,,2709,491,18.12,16.72,19.62,,-0.34
Z3,16,児島,計,追い風,885,176,19.89,17.39,22.64,,878,170,19.36,16.88,22.11,,-0.53
Z3,16,児島,計,横風,1354,253,18.69,16.7,20.85,,1341,245,18.27,16.29,20.43,,-0.42
Z3,16,児島,計,向かい風,344,57,16.57,13.01,20.86,,344,57,16.57,13.01,20.86,,0.0
Z3,16,児島,計,無風,31,6,,,,n不足,31,6,,,,n不足,
Z3,16,児島,計,計,2614,492,18.82,17.37,20.37,,2594,478,18.43,16.98,19.97,,-0.39
Z3,17,宮島,計,追い風,588,123,20.92,17.82,24.39,,583,120,20.58,17.5,24.05,,-0.34
Z3,17,宮島,計,横風,741,162,21.86,19.04,24.98,,733,157,21.42,18.6,24.53,,-0.44
Z3,17,宮島,計,向かい風,1277,239,18.72,16.67,20.95,,1265,233,18.42,16.38,20.65,,-0.3
Z3,17,宮島,計,無風,278,35,,,,n不足,277,34,,,,n不足,
Z3,17,宮島,計,計,2884,559,19.38,17.98,20.87,,2858,544,19.03,17.64,20.51,,-0.35
Z3,18,徳山,計,追い風,188,29,,,,n不足,185,28,,,,n不足,
Z3,18,徳山,計,横風,1759,244,13.87,12.33,15.57,,1745,235,13.47,11.95,15.15,,-0.4
Z3,18,徳山,計,向かい風,885,138,15.59,13.35,18.13,,870,127,14.6,12.41,17.1,,-0.99
Z3,18,徳山,計,無風,0,0,,,,n不足,0,0,,,,n不足,
Z3,18,徳山,計,計,2832,411,14.51,13.26,15.86,,2800,390,13.93,12.7,15.26,,-0.58
Z3,19,下関,計,追い風,784,114,14.54,12.25,17.18,,762,103,13.52,11.27,16.13,,-1.02
Z3,19,下関,計,横風,1359,174,12.8,11.13,14.69,,1336,164,12.28,10.62,14.14,,-0.52
Z3,19,下関,計,向かい風,457,75,16.41,13.3,20.08,,451,74,16.41,13.28,20.11,,0.0
Z3,19,下関,計,無風,0,0,,,,n不足,0,0,,,,n不足,
Z3,19,下関,計,計,2600,363,13.96,12.68,15.35,,2549,341,13.38,12.11,14.75,,-0.58
Z3,20,若松,計,追い風,1048,146,13.93,11.97,16.16,,1034,140,13.54,11.59,15.76,,-0.39
Z3,20,若松,計,横風,1534,271,17.67,15.84,19.65,,1512,261,17.26,15.44,19.25,,-0.41
Z3,20,若松,計,向かい風,57,12,,,,n不足,56,11,,,,n不足,
Z3,20,若松,計,無風,80,7,,,,n不足,79,6,,,,n不足,
Z3,20,若松,計,計,2719,436,16.04,14.7,17.46,,2681,418,15.59,14.27,17.01,,-0.45
Z3,21,芦屋,計,追い風,840,154,18.33,15.86,21.09,,830,148,17.83,15.38,20.58,,-0.5
Z3,21,芦屋,計,横風,1118,171,15.3,13.3,17.52,,1109,165,14.88,12.91,17.09,,-0.42
Z3,21,芦屋,計,向かい風,711,128,18.0,15.35,21.0,,705,124,17.59,14.96,20.57,,-0.41
Z3,21,芦屋,計,無風,142,21,,,,n不足,139,21,,,,n不足,
Z3,21,芦屋,計,計,2811,474,16.86,15.52,18.29,,2783,458,16.46,15.13,17.88,,-0.4
Z3,22,福岡,計,追い風,204,38,,,,n不足,203,37,,,,n不足,
Z3,22,福岡,計,横風,2170,351,16.18,14.69,17.78,,2153,342,15.88,14.4,17.49,,-0.3
Z3,22,福岡,計,向かい風,421,85,20.19,16.63,24.29,,419,83,19.81,16.27,23.89,,-0.38
Z3,22,福岡,計,無風,0,0,,,,n不足,0,0,,,,n不足,
Z3,22,福岡,計,計,2795,474,16.96,15.61,18.4,,2775,462,16.65,15.31,18.08,,-0.31
Z3,23,唐津,計,追い風,383,80,20.89,17.12,25.24,,369,74,20.05,16.29,24.44,,-0.84
Z3,23,唐津,計,横風,869,151,17.38,15.0,20.04,,842,138,16.39,14.04,19.04,,-0.99
Z3,23,唐津,計,向かい風,1172,211,18.0,15.91,20.31,,1140,193,16.93,14.86,19.22,,-1.07
Z3,23,唐津,計,無風,41,5,,,,n不足,40,4,,,,n不足,
Z3,23,唐津,計,計,2465,447,18.13,16.66,19.7,,2391,409,17.11,15.65,18.67,,-1.02
Z3,24,大村,計,追い風,680,92,13.53,11.16,16.31,,678,90,13.27,10.93,16.04,,-0.26
Z3,24,大村,計,横風,1523,229,15.04,13.33,16.92,,1512,222,14.68,12.99,16.56,,-0.36
Z3,24,大村,計,向かい風,621,86,13.85,11.35,16.79,,618,84,13.59,11.11,16.52,,-0.26
Z3,24,大村,計,無風,65,13,,,,n不足,64,13,,,,n不足,
Z3,24,大村,計,計,2889,420,14.54,13.3,15.87,,2872,409,14.24,13.01,15.57,,-0.3
